#BioGRID Chemical Interaction ID	BioGRID Gene ID	Entrez Gene ID	Systematic Name	Official Symbol	Synonyms	Organism ID	Organism	Action	Interaction Type	Author	Pubmed ID	BioGRID Publication ID	BioGRID Chemical ID	Chemical Name	Chemical Synonyms	Chemical Brands	Chemical Source	Chemical Source ID	Molecular Formula	Chemical Type	ATC Codes	CAS Number	Curated By	Method	Method Description	Related BioGRID Gene ID	Related Entrez Gene ID	Related Systematic Name	Related Official Symbol	Related Synonyms	Related Organism ID	Related Organism	Related Type	Notes	InChIKey
391	108534	2243	-	FGA	Fib2	9606	Homo sapiens	unknown	target	Melandri G (2009)	19436656	171787	31	Tenecteplase	t-plasminogen activator|tPA|Tissue-type plasminogen activator precursor|t- PA	tnkase	DRUGBANK	DB00031	C2561H3919N747O781S40	biologic	B01AD11	191588-94-0	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
392	108534	2243	-	FGA	Fib2	9606	Homo sapiens	unknown	target	Longstaff C (2008)	18673235	171788	31	Tenecteplase	t-plasminogen activator|tPA|Tissue-type plasminogen activator precursor|t- PA	tnkase	DRUGBANK	DB00031	C2561H3919N747O781S40	biologic	B01AD11	191588-94-0	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
393	108534	2243	-	FGA	Fib2	9606	Homo sapiens	unknown	target	Hilleman DE (2007)	17963464	171789	31	Tenecteplase	t-plasminogen activator|tPA|Tissue-type plasminogen activator precursor|t- PA	tnkase	DRUGBANK	DB00031	C2561H3919N747O781S40	biologic	B01AD11	191588-94-0	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
469	108551	2260	-	FGFR1	BFGFR|CD331|CEK|FGFBR|FGFR-1|FLG|FLT-2|FLT2|HBGFR|HH2|HRTFDS|KAL2|N-SAM|OGD|bFGF-R-1	9606	Homo sapiens	unknown	target	Lu W (1999)	10212269	171961	38	Palifermin	FGF-7|KGF|HBGF-7|Keratinocyte growth factor precursor|Fibroblast growth factor- 7	kepivance	DRUGBANK	DB00039	C721H1142N202O204S9	biologic	V03AF08	162394-19-6	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
470	108551	2260	-	FGFR1	BFGFR|CD331|CEK|FGFBR|FGFR-1|FLG|FLT-2|FLT2|HBGFR|HH2|HRTFDS|KAL2|N-SAM|OGD|bFGF-R-1	9606	Homo sapiens	unknown	target	Sher I (2000)	10950949	3241	38	Palifermin	FGF-7|KGF|HBGF-7|Keratinocyte growth factor precursor|Fibroblast growth factor- 7	kepivance	DRUGBANK	DB00039	C721H1142N202O204S9	biologic	V03AF08	162394-19-6	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
471	108551	2260	-	FGFR1	BFGFR|CD331|CEK|FGFBR|FGFR-1|FLG|FLT-2|FLT2|HBGFR|HH2|HRTFDS|KAL2|N-SAM|OGD|bFGF-R-1	9606	Homo sapiens	unknown	target	Wang F (1999)	9890894	171958	38	Palifermin	FGF-7|KGF|HBGF-7|Keratinocyte growth factor precursor|Fibroblast growth factor- 7	kepivance	DRUGBANK	DB00039	C721H1142N202O204S9	biologic	V03AF08	162394-19-6	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
472	108551	2260	-	FGFR1	BFGFR|CD331|CEK|FGFBR|FGFR-1|FLG|FLT-2|FLT2|HBGFR|HH2|HRTFDS|KAL2|N-SAM|OGD|bFGF-R-1	9606	Homo sapiens	unknown	target	Matsubara A (1999)	11091737	171959	38	Palifermin	FGF-7|KGF|HBGF-7|Keratinocyte growth factor precursor|Fibroblast growth factor- 7	kepivance	DRUGBANK	DB00039	C721H1142N202O204S9	biologic	V03AF08	162394-19-6	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
473	108551	2260	-	FGFR1	BFGFR|CD331|CEK|FGFBR|FGFR-1|FLG|FLT-2|FLT2|HBGFR|HH2|HRTFDS|KAL2|N-SAM|OGD|bFGF-R-1	9606	Homo sapiens	unknown	target	Ostrovsky O (2002)	11714710	171960	38	Palifermin	FGF-7|KGF|HBGF-7|Keratinocyte growth factor precursor|Fibroblast growth factor- 7	kepivance	DRUGBANK	DB00039	C721H1142N202O204S9	biologic	V03AF08	162394-19-6	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
577	107675	1278	-	COL1A2	OI4	9606	Homo sapiens	unknown	target	Chiu CJ (2002)	12101112	172028	47	Collagenase clostridium histolyticum	-	collagenase santyl|xiaflex	DRUGBANK	DB00048	C5028H7666N1300O1564S21	biologic	M09AB02	9001-12-1	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
658	109896	3690	-	ITGB3	BDPLT16|BDPLT2|CD61|GP3A|GPIIIa|GT	9606	Homo sapiens	antagonist	target	Chen X (2002)	11752352	171740	53	Abciximab	7E3|7E3 antibody|antiGPIIBIIIa|C7E3	reopro	DRUGBANK	DB00054	C6462H9964N1690O2049S48	biologic	B01AC13	143653-53-6	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
659	109896	3690	-	ITGB3	BDPLT16|BDPLT2|CD61|GP3A|GPIIIa|GT	9606	Homo sapiens	antagonist	target	Hall PR (2007)	17441904	172060	53	Abciximab	7E3|7E3 antibody|antiGPIIBIIIa|C7E3	reopro	DRUGBANK	DB00054	C6462H9964N1690O2049S48	biologic	B01AC13	143653-53-6	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
660	109896	3690	-	ITGB3	BDPLT16|BDPLT2|CD61|GP3A|GPIIIa|GT	9606	Homo sapiens	antagonist	target	Ibbotson T (2003)	12749745	172056	53	Abciximab	7E3|7E3 antibody|antiGPIIBIIIa|C7E3	reopro	DRUGBANK	DB00054	C6462H9964N1690O2049S48	biologic	B01AC13	143653-53-6	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
661	109896	3690	-	ITGB3	BDPLT16|BDPLT2|CD61|GP3A|GPIIIa|GT	9606	Homo sapiens	antagonist	target	Mazzaferri EL (2008)	18510478	172055	53	Abciximab	7E3|7E3 antibody|antiGPIIBIIIa|C7E3	reopro	DRUGBANK	DB00054	C6462H9964N1690O2049S48	biologic	B01AC13	143653-53-6	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
662	109896	3690	-	ITGB3	BDPLT16|BDPLT2|CD61|GP3A|GPIIIa|GT	9606	Homo sapiens	antagonist	target	Amoroso G (2001)	11588534	172059	53	Abciximab	7E3|7E3 antibody|antiGPIIBIIIa|C7E3	reopro	DRUGBANK	DB00054	C6462H9964N1690O2049S48	biologic	B01AC13	143653-53-6	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
663	109896	3690	-	ITGB3	BDPLT16|BDPLT2|CD61|GP3A|GPIIIa|GT	9606	Homo sapiens	antagonist	target	Weber AA (2002)	12165285	172058	53	Abciximab	7E3|7E3 antibody|antiGPIIBIIIa|C7E3	reopro	DRUGBANK	DB00054	C6462H9964N1690O2049S48	biologic	B01AC13	143653-53-6	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
683	108452	2153	-	F5	FVL|PCCF|RPRGL1|THPH2	9606	Homo sapiens	multitarget	target	Poe K (2002)	12030642	172079	54	Drotrecogin alfa	Drotrecogin alfa activated|Blood coagulation factor XIV (human)|Drotrecogin-alfa|Recombinant human activated protein C (rH-APC)|Activated protein C|Drotrecogin alfa (activated)|Drotrecogin alfa, activated|Drotrecogin alfa (activated), lyophilized	xigris (5mg/vial)|xigris  (20m	DRUGBANK	DB00055	C1786H2779N509O519S29	biologic	B01AD10	98530-76-8	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
684	108452	2153	-	F5	FVL|PCCF|RPRGL1|THPH2	9606	Homo sapiens	multitarget	target	Bernard GR (2001)	11236773	172078	54	Drotrecogin alfa	Drotrecogin alfa activated|Blood coagulation factor XIV (human)|Drotrecogin-alfa|Recombinant human activated protein C (rH-APC)|Activated protein C|Drotrecogin alfa (activated)|Drotrecogin alfa, activated|Drotrecogin alfa (activated), lyophilized	xigris (5mg/vial)|xigris  (20m	DRUGBANK	DB00055	C1786H2779N509O519S29	biologic	B01AD10	98530-76-8	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
685	108452	2153	-	F5	FVL|PCCF|RPRGL1|THPH2	9606	Homo sapiens	multitarget	target	Joyce DE (2002)	12004250	172075	54	Drotrecogin alfa	Drotrecogin alfa activated|Blood coagulation factor XIV (human)|Drotrecogin-alfa|Recombinant human activated protein C (rH-APC)|Activated protein C|Drotrecogin alfa (activated)|Drotrecogin alfa, activated|Drotrecogin alfa (activated), lyophilized	xigris (5mg/vial)|xigris  (20m	DRUGBANK	DB00055	C1786H2779N509O519S29	biologic	B01AD10	98530-76-8	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
686	108452	2153	-	F5	FVL|PCCF|RPRGL1|THPH2	9606	Homo sapiens	multitarget	target	Chen X (2002)	11752352	171740	54	Drotrecogin alfa	Drotrecogin alfa activated|Blood coagulation factor XIV (human)|Drotrecogin-alfa|Recombinant human activated protein C (rH-APC)|Activated protein C|Drotrecogin alfa (activated)|Drotrecogin alfa, activated|Drotrecogin alfa (activated), lyophilized	xigris (5mg/vial)|xigris  (20m	DRUGBANK	DB00055	C1786H2779N509O519S29	biologic	B01AD10	98530-76-8	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
687	108452	2153	-	F5	FVL|PCCF|RPRGL1|THPH2	9606	Homo sapiens	multitarget	target	Kanji S (2001)	11714212	172076	54	Drotrecogin alfa	Drotrecogin alfa activated|Blood coagulation factor XIV (human)|Drotrecogin-alfa|Recombinant human activated protein C (rH-APC)|Activated protein C|Drotrecogin alfa (activated)|Drotrecogin alfa, activated|Drotrecogin alfa (activated), lyophilized	xigris (5mg/vial)|xigris  (20m	DRUGBANK	DB00055	C1786H2779N509O519S29	biologic	B01AD10	98530-76-8	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
688	108452	2153	-	F5	FVL|PCCF|RPRGL1|THPH2	9606	Homo sapiens	multitarget	target	Lyseng-Williamson KA (2002)	11893230	172077	54	Drotrecogin alfa	Drotrecogin alfa activated|Blood coagulation factor XIV (human)|Drotrecogin-alfa|Recombinant human activated protein C (rH-APC)|Activated protein C|Drotrecogin alfa (activated)|Drotrecogin alfa, activated|Drotrecogin alfa (activated), lyophilized	xigris (5mg/vial)|xigris  (20m	DRUGBANK	DB00055	C1786H2779N509O519S29	biologic	B01AD10	98530-76-8	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
755	109896	3690	-	ITGB3	BDPLT16|BDPLT2|CD61|GP3A|GPIIIa|GT	9606	Homo sapiens	unknown	target	Schroer K (2003)	14618072	172126	62	Eptifibatide	Intrifiban|Integrelin	eptifibatide|eptifibatide inje	DRUGBANK	DB00063	C35H49N11O9S2	biologic	B01AC16	188627-80-7	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
756	109896	3690	-	ITGB3	BDPLT16|BDPLT2|CD61|GP3A|GPIIIa|GT	9606	Homo sapiens	unknown	target	Schwarz M (2004)	14617694	172125	62	Eptifibatide	Intrifiban|Integrelin	eptifibatide|eptifibatide inje	DRUGBANK	DB00063	C35H49N11O9S2	biologic	B01AC16	188627-80-7	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
757	109896	3690	-	ITGB3	BDPLT16|BDPLT2|CD61|GP3A|GPIIIa|GT	9606	Homo sapiens	unknown	target	Fischer TH (2005)	15860200	172124	62	Eptifibatide	Intrifiban|Integrelin	eptifibatide|eptifibatide inje	DRUGBANK	DB00063	C35H49N11O9S2	biologic	B01AC16	188627-80-7	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
758	109896	3690	-	ITGB3	BDPLT16|BDPLT2|CD61|GP3A|GPIIIa|GT	9606	Homo sapiens	unknown	target	Auer J (2003)	12928738	172123	62	Eptifibatide	Intrifiban|Integrelin	eptifibatide|eptifibatide inje	DRUGBANK	DB00063	C35H49N11O9S2	biologic	B01AC16	188627-80-7	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
759	109896	3690	-	ITGB3	BDPLT16|BDPLT2|CD61|GP3A|GPIIIa|GT	9606	Homo sapiens	unknown	target	Berman HM (2000)	10592235	172122	62	Eptifibatide	Intrifiban|Integrelin	eptifibatide|eptifibatide inje	DRUGBANK	DB00063	C35H49N11O9S2	biologic	B01AC16	188627-80-7	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
760	109896	3690	-	ITGB3	BDPLT16|BDPLT2|CD61|GP3A|GPIIIa|GT	9606	Homo sapiens	unknown	target	Weber AA (2002)	12360110	172121	62	Eptifibatide	Intrifiban|Integrelin	eptifibatide|eptifibatide inje	DRUGBANK	DB00063	C35H49N11O9S2	biologic	B01AC16	188627-80-7	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
761	109896	3690	-	ITGB3	BDPLT16|BDPLT2|CD61|GP3A|GPIIIa|GT	9606	Homo sapiens	unknown	target	Amoroso G (2001)	11588534	172059	62	Eptifibatide	Intrifiban|Integrelin	eptifibatide|eptifibatide inje	DRUGBANK	DB00063	C35H49N11O9S2	biologic	B01AC16	188627-80-7	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
829	109711	3490	-	IGFBP7	AGM|FSTL2|IBP-7|IGFBP-7|IGFBP-7v|IGFBPRP1|MAC25|PSF|RAMSVPS|TAF	9606	Homo sapiens	unknown	target	Radulescu RT (2007)	17475416	172174	70	Insulin Pork	Insulin (pork)|Insulin, regular, pork|Insulin purified porcine|Porcine insulin|Insulin purified pork|Insulin, porcine|Insulin porcine	-	DRUGBANK	DB00071	C257H387N65O76S6	biologic	A10AE03|A10AD03|A10AC03|A10AB03	12584-58-6	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
830	109711	3490	-	IGFBP7	AGM|FSTL2|IBP-7|IGFBP-7|IGFBP-7v|IGFBPRP1|MAC25|PSF|RAMSVPS|TAF	9606	Homo sapiens	unknown	target	Degeorges A (1999)	10383131	172175	70	Insulin Pork	Insulin (pork)|Insulin, regular, pork|Insulin purified porcine|Porcine insulin|Insulin purified pork|Insulin, porcine|Insulin porcine	-	DRUGBANK	DB00071	C257H387N65O76S6	biologic	A10AE03|A10AD03|A10AC03|A10AB03	12584-58-6	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
831	109711	3490	-	IGFBP7	AGM|FSTL2|IBP-7|IGFBP-7|IGFBP-7v|IGFBPRP1|MAC25|PSF|RAMSVPS|TAF	9606	Homo sapiens	unknown	target	Lopez-Bermejo A (2000)	11089538	172176	70	Insulin Pork	Insulin (pork)|Insulin, regular, pork|Insulin purified porcine|Porcine insulin|Insulin purified pork|Insulin, porcine|Insulin porcine	-	DRUGBANK	DB00071	C257H387N65O76S6	biologic	A10AE03|A10AD03|A10AC03|A10AB03	12584-58-6	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
832	109711	3490	-	IGFBP7	AGM|FSTL2|IBP-7|IGFBP-7|IGFBP-7v|IGFBPRP1|MAC25|PSF|RAMSVPS|TAF	9606	Homo sapiens	unknown	target	Overington JP (2006)	17139284	171741	70	Insulin Pork	Insulin (pork)|Insulin, regular, pork|Insulin purified porcine|Porcine insulin|Insulin purified pork|Insulin, porcine|Insulin porcine	-	DRUGBANK	DB00071	C257H387N65O76S6	biologic	A10AE03|A10AD03|A10AC03|A10AB03	12584-58-6	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	-
